idx,timestamp,symbol,open,high,low,close,volume
549448,2022-12-01 16.55.00,BTC/USDT,16975.23,16987.92,16972.59,16981.76,676
549449,2022-12-01 17.00.00,BTC/USDT,16981.76,16985.21,16965.71,16970.83,805
549450,2022-12-01 17.05.00,BTC/USDT,16970.83,16976.64,16940.93,16951.29,846
549451,2022-12-01 17.10.00,BTC/USDT,16950.69,16963.01,16940.37,16944.22,757
549452,2022-12-01 17.15.00,BTC/USDT,16944.22,16945.71,16928.2,16930.31,733
549453,2022-12-01 17.20.00,BTC/USDT,16929.64,16957.98,16928.57,16955.15,768
549454,2022-12-01 17.25.00,BTC/USDT,16955.15,16977.65,16954.23,16968.91,869
549455,2022-12-01 17.30.00,BTC/USDT,16968.91,16990.0,16966.0,16978.8,703
549456,2022-12-01 17.35.00,BTC/USDT,16978.8,16982.77,16973.0,16976.52,484
549457,2022-12-01 17.40.00,BTC/USDT,16977.17,16979.57,16970.7,16979.32,572
549458,2022-12-01 17.45.00,BTC/USDT,16978.65,16982.8,16962.86,16974.18,654
549459,2022-12-01 17.50.00,BTC/USDT,16974.18,16990.0,16973.02,16975.43,791
549460,2022-12-01 17.55.00,BTC/USDT,16975.43,16988.55,16965.1,16967.67,571
549461,2022-12-01 18.00.00,BTC/USDT,16967.67,16975.2,16960.0,16965.76,572
549462,2022-12-01 18.05.00,BTC/USDT,16965.76,16976.33,16962.36,16969.59,670
549463,2022-12-01 18.10.00,BTC/USDT,16969.59,16975.0,16961.89,16970.64,547
549464,2022-12-01 18.15.00,BTC/USDT,16970.04,16972.29,16944.0,16946.56,713
549465,2022-12-01 18.20.00,BTC/USDT,16946.56,16956.73,16945.0,16949.18,428
549466,2022-12-01 18.25.00,BTC/USDT,16948.73,16950.85,16933.38,16940.92,617
549467,2022-12-01 18.30.00,BTC/USDT,16941.81,16947.72,16920.0,16926.3,691
549468,2022-12-01 18.35.00,BTC/USDT,16926.3,16933.3,16908.05,16919.05,911
549469,2022-12-01 18.40.00,BTC/USDT,16919.05,16945.95,16913.86,16943.07,682
549470,2022-12-01 18.45.00,BTC/USDT,16943.07,16965.92,16935.11,16939.16,692
549471,2022-12-01 18.50.00,BTC/USDT,16939.16,16939.39,16924.03,16927.27,427
549472,2022-12-01 18.55.00,BTC/USDT,16927.27,16940.2,16924.31,16931.04,376
549473,2022-12-01 19.00.00,BTC/USDT,16931.74,16936.15,16918.41,16921.67,573
549474,2022-12-01 19.05.00,BTC/USDT,16921.04,16930.9,16903.7,16914.37,709
549475,2022-12-01 19.10.00,BTC/USDT,16914.37,16918.04,16897.15,16914.93,627
549476,2022-12-01 19.15.00,BTC/USDT,16914.4,16935.43,16909.29,16925.73,546
549477,2022-12-01 19.20.00,BTC/USDT,16926.62,16936.7,16923.71,16935.48,395
549478,2022-12-01 19.25.00,BTC/USDT,16935.0,16939.61,16927.26,16930.58,481
549479,2022-12-01 19.30.00,BTC/USDT,16930.01,16943.45,16917.22,16943.25,622
549480,2022-12-01 19.35.00,BTC/USDT,16943.25,16954.54,16936.64,16945.96,733
549481,2022-12-01 19.40.00,BTC/USDT,16945.96,16953.72,16934.79,16936.29,447
549482,2022-12-01 19.45.00,BTC/USDT,16936.29,16961.32,16932.48,16955.53,515
549483,2022-12-01 19.50.00,BTC/USDT,16955.53,16960.0,16948.13,16951.44,445
549484,2022-12-01 19.55.00,BTC/USDT,16951.44,16954.2,16943.23,16951.8,344
549485,2022-12-01 20.00.00,BTC/USDT,16952.49,16955.75,16945.75,16950.96,373
549486,2022-12-01 20.05.00,BTC/USDT,16951.67,16957.94,16947.0,16951.6,353
549487,2022-12-01 20.10.00,BTC/USDT,16951.6,16956.55,16945.08,16950.64,393
549488,2022-12-01 20.15.00,BTC/USDT,16950.64,16962.53,16950.64,16962.28,554
549489,2022-12-01 20.20.00,BTC/USDT,16961.6,16967.79,16952.59,16962.12,540
549490,2022-12-01 20.25.00,BTC/USDT,16961.21,16962.41,16944.66,16945.4,396
549491,2022-12-01 20.30.00,BTC/USDT,16945.4,16956.12,16938.9,16946.39,409
